,Name,Location,Year,Kilometers_Driven,Fuel_Type,Owner_Type,Price in Lakhs
251,Maruti Swift VDI ABS,Delhi,2015,"85,551",Diesel,1st,"4,12,099"
252,Maruti Swift VDI,Delhi,2012,"1,02,024",Diesel,1st,"2,89,999"
253,Mahindra XUV500 W8 AWD,Delhi,2014,"79,878",Diesel,2nd,"6,33,899"
254,Hyundai i20 MAGNA 1.2 VTVT,Delhi,2009,"1,26,202",Petrol,1st,"2,48,599"
255,Ford Ecosport 1.5 TREND TDCI,Delhi,2015,"90,792",Diesel,1st,"4,89,999"
256,Toyota Etios Liva GD,Delhi,2013,"1,12,188",Diesel,1st,"2,73,299"
257,Maruti Ritz LXI,Delhi,2010,"1,01,633",Petrol,2nd,"2,12,699"
258,Volkswagen Vento COMFORTLINE DIESEL,Delhi,2014,"82,081",Diesel,1st,"3,14,999"
259,Maruti Swift Dzire VXI 1.3,Delhi,2009,"1,91,532",Petrol,1st,"1,78,199"
260,Honda City S MT PETROL,Delhi,2010,"1,13,701",Petrol,1st,"3,46,399"
261,Toyota Etios Liva D 4D GD,Delhi,2012,"1,24,471",Diesel,1st,"2,68,299"
262,Maruti Swift VDI ABS,Delhi,2015,"92,086",Diesel,1st,"3,94,899"
263,Maruti Swift VDI ABS,Delhi,2015,"91,280",Diesel,1st,"3,83,299"
264,Toyota Etios Liva GD exclusive,Delhi,2013,"97,735",Diesel,1st,"3,01,099"
265,Hyundai i20 ASTA 1.4 CRDI,Delhi,2012,"1,08,007",Diesel,2nd,"3,03,699"
266,Maruti Swift VDI,Delhi,2012,"1,05,388",Diesel,1st,"3,48,699"
267,Maruti Swift VDI,Delhi,2012,"95,400",Diesel,2nd,"2,85,899"
268,Maruti Swift Dzire VXI AT,Delhi,2013,"99,254",Petrol,2nd,"3,26,899"
269,Maruti Ritz VDI,Delhi,2012,"1,00,995",Diesel,1st,"2,37,899"
270,Hyundai i20 MAGNA O 1.4 CRDI,Delhi,2013,"94,267",Diesel,1st,"3,22,799"
271,Maruti Swift VDI ABS,Delhi,2015,"92,527",Diesel,1st,"3,77,399"
272,Maruti Swift VDI ABS,Delhi,2015,"1,01,209",Diesel,1st,"3,73,099"
273,Maruti Swift VDI,Delhi,2012,"1,12,723",Diesel,1st,"2,81,399"
